

Measurement ID,16432
Battery Name,GH40
Battery Type,NMC
Circuit,MCT_084
Program,784 - EISRemote_GH_RPT_dch
Start Time,3/30/2022 11:54:09
End Time,3/31/2022 15:25:59
Test section,EIS00004
Comment,
OrderNo,
Producer,LG
Type,NMC
Nominal Voltage,3.600
Nominal Current,6.000
Nominal Capacity,3.000
Cells,0
Maximum Voltage,6.000
Gassing Voltage,6.000
Break Voltage,6.000
Charge Factor,6.000
Impedance,6.000
Cold Cranking Current,6.000
Energy Density,6.000
Comment,3.0 AH 18650 NMC



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,Betrag,Phase,StartEis0015,EisFinish,
5,EIS,00:04:42.618,21:51:33.278,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,4.8743,2.0000,1.5000,6.2000,8.0000,26.0000,16.0000,3.7021,21.3160,-0.7256,4.8701,0.0000,2.0000,4.0000,3.0000,1.0044,0.3767,21.3284,-1.9495,1.0000,0.0000,
5,EIS,00:04:53.548,21:51:44.208,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,3.6552,2.0000,1.5000,6.2000,8.0000,27.0000,16.0000,3.7021,21.3891,-0.6800,3.6585,0.0000,2.0000,4.0000,3.0000,1.0035,0.3751,21.3999,-1.8208,1.0000,0.0000,
5,EIS,00:05:03.810,21:51:54.470,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,2.7410,2.0000,1.5000,6.2000,8.0000,28.0000,16.0000,3.7021,21.4703,-0.6706,2.7372,0.0000,2.0000,4.0000,3.0000,1.0039,0.3739,21.4807,-1.7889,1.0000,0.0000,
5,EIS,00:05:14.935,21:52:05.595,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,2.0555,2.0000,1.5000,6.2000,8.0000,29.0000,16.0000,3.7021,21.5345,-0.6793,2.0548,0.0000,2.0000,4.0000,3.0000,1.0025,0.3722,21.5453,-1.8068,1.0000,0.0000,
5,EIS,00:05:25.930,21:52:16.590,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,1.5414,2.0000,1.5000,6.2000,8.0000,30.0000,16.0000,3.7021,21.6225,-0.7140,1.5400,0.0000,2.0000,4.0000,3.0000,1.0042,0.3713,21.6343,-1.8913,1.0000,0.0000,
5,EIS,00:05:36.712,21:52:27.372,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,1.1559,2.0000,1.5000,6.2000,8.0000,31.0000,16.0000,3.7021,21.7045,-0.7645,1.1574,0.0000,2.0000,4.0000,3.0000,1.0040,0.3698,21.7180,-2.0172,1.0000,0.0000,
5,EIS,00:05:47.415,21:52:38.075,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.8668,2.0000,1.5000,6.2000,8.0000,32.0000,16.0000,3.7021,21.8006,-0.8426,0.8661,0.0000,2.0000,4.0000,3.0000,1.0050,0.3685,21.8168,-2.2133,1.0000,0.0000,
5,EIS,00:05:58.307,21:52:48.967,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.6500,2.0000,1.5000,6.2000,8.0000,33.0000,16.0000,3.7021,21.9123,-0.9489,0.6510,0.0000,2.0000,4.0000,3.0000,1.0050,0.3666,21.9328,-2.4797,1.0000,0.0000,
5,EIS,00:06:12.478,21:53:03.138,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.4874,2.0000,1.5000,6.2000,8.0000,34.0000,16.0000,3.7020,22.0277,-1.0822,0.4870,0.0000,2.0000,4.0000,3.0000,1.0053,0.3647,22.0542,-2.8127,1.0000,0.0000,
5,EIS,00:06:26.471,21:53:17.131,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.3655,2.0000,1.5000,6.2000,8.0000,35.0000,16.0000,3.7018,22.1676,-1.2444,0.3662,0.0000,2.0000,4.0000,3.0000,1.0070,0.3628,22.2025,-3.2129,1.0000,0.0000,
5,EIS,00:06:43.820,21:53:34.480,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.2741,2.0000,1.5000,6.2000,8.0000,36.0000,16.0000,3.7020,22.3194,-1.4331,0.2741,0.0000,2.0000,4.0000,3.0000,1.0078,0.3605,22.3654,-3.6738,1.0000,0.0000,
5,EIS,00:07:05.458,21:53:56.118,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.2055,2.0000,1.5000,6.2000,8.0000,37.0000,16.0000,3.7015,22.5255,-1.6612,0.2056,0.0000,2.0000,4.0000,3.0000,1.0078,0.3578,22.5867,-4.2177,1.0000,0.0000,
5,EIS,00:07:31.100,21:54:21.760,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.1541,2.0000,1.5000,6.2000,8.0000,38.0000,16.0000,3.7018,22.7232,-1.9211,0.1542,0.0000,2.0000,4.0000,3.0000,1.0094,0.3541,22.8043,-4.8324,1.0000,0.0000,
5,EIS,00:08:03.360,21:54:54.020,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.1156,2.0000,1.5000,6.2000,8.0000,39.0000,16.0000,3.7018,23.0170,-2.2534,0.1155,0.0000,2.0000,4.0000,3.0000,1.0137,0.3507,23.1271,-5.5916,1.0000,0.0000,
5,EIS,00:08:44.202,21:55:34.862,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0867,2.0000,1.5000,6.2000,8.0000,40.0000,16.0000,3.7016,23.2965,-2.6280,0.0868,0.0000,2.0000,4.0000,3.0000,1.0140,0.3460,23.4442,-6.4361,1.0000,0.0000,
5,EIS,00:09:36.822,21:56:27.482,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0650,2.0000,1.5000,6.2000,8.0000,41.0000,16.0000,3.7015,23.6091,-3.0926,0.0649,0.0000,2.0000,4.0000,3.0000,1.0157,0.3412,23.8108,-7.4627,1.0000,0.0000,
5,EIS,00:10:45.185,21:57:35.845,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0487,2.0000,1.5000,6.2000,8.0000,42.0000,16.0000,3.7014,24.0225,-3.6541,0.0487,0.0000,2.0000,4.0000,3.0000,1.0201,0.3359,24.2988,-8.6491,1.0000,0.0000,
5,EIS,00:12:13.955,21:59:04.615,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0366,2.0000,1.5000,6.2000,8.0000,43.0000,16.0000,3.7012,24.4981,-4.3493,0.0365,0.0000,2.0000,4.0000,3.0000,1.0240,0.3293,24.8811,-10.0672,1.0000,0.0000,
5,EIS,00:14:10.132,22:01:00.792,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0274,2.0000,1.5000,6.2000,8.0000,44.0000,16.0000,3.7010,25.0260,-5.1797,0.0274,0.0000,2.0000,4.0000,3.0000,1.0274,0.3216,25.5564,-11.6936,1.0000,0.0000,
5,EIS,00:16:42.298,22:03:32.958,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0206,2.0000,1.5000,6.2000,8.0000,45.0000,16.0000,3.7007,25.6964,-6.2096,0.0206,0.0000,2.0000,4.0000,3.0000,1.0343,0.3130,26.4360,-13.5853,1.0000,0.0000,
5,EIS,00:20:03.563,22:06:54.223,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0154,2.0000,1.5000,6.2000,8.0000,46.0000,16.0000,3.7005,26.5241,-7.4570,0.0154,0.0000,2.0000,4.0000,3.0000,1.0427,0.3027,27.5524,-15.7029,1.0000,0.0000,
5,EIS,00:24:30.113,22:11:20.773,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0116,2.0000,1.5000,6.2000,8.0000,47.0000,16.0000,3.7002,27.6002,-8.9219,0.0116,0.0000,2.0000,4.0000,3.0000,1.0522,0.2902,29.0064,-17.9138,1.0000,0.0000,
5,EIS,00:29:36.461,22:16:27.121,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0100,2.0000,1.5000,6.2000,8.0000,48.0000,16.0000,3.7001,28.2858,-9.7798,0.0100,0.0000,2.0000,4.0000,3.0000,1.0320,0.2759,29.9287,-19.0728,1.0000,0.0000,
