

Measurement ID,12822
Battery Name,GH40
Battery Type,NMC
Circuit,MCT_086
Program,784 - EISRemote_GH_RPT_dch
Start Time,25/01/2021 16.40.08
End Time,26/01/2021 20.27.01
Test section,EIS00004
Comment,
OrderNo,
Producer,LG
Type,NMC
Nominal Voltage,3.600
Nominal Current,6.000
Nominal Capacity,3.000
Cells,0
Maximum Voltage,6.000
Gassing Voltage,6.000
Break Voltage,6.000
Charge Factor,6.000
Impedance,6.000
Cold Cranking Current,6.000
Energy Density,6.000
Comment,3.0 AH 18650 NMC



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,Betrag,Phase,StartEis007,EisFinish,
5,EIS,00:01:47.161,22:03:13.640,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,487.4312,2.0000,1.5000,6.2000,8.0000,10.0000,16.0000,3.6885,17.0255,-0.5893,487.3096,0.0000,2.0000,4.0000,3.0000,1.0152,0.4767,17.0357,-1.9822,1.0000,0.0000,
5,EIS,00:01:57.000,22:03:23.479,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,365.5219,2.0000,1.5000,6.2000,8.0000,11.0000,16.0000,3.6885,17.2929,-0.8212,365.0190,0.0000,2.0000,4.0000,3.0000,1.0159,0.4694,17.3124,-2.7187,1.0000,0.0000,
5,EIS,00:02:07.226,22:03:33.705,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,274.1027,2.0000,1.5000,6.2000,8.0000,12.0000,16.0000,3.6885,17.5636,-0.9961,274.2857,0.0000,2.0000,4.0000,3.0000,1.0157,0.4619,17.5918,-3.2460,1.0000,0.0000,
5,EIS,00:02:17.761,22:03:44.240,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,205.5480,2.0000,1.5000,6.2000,8.0000,13.0000,16.0000,3.6885,17.8464,-1.1289,205.5675,0.0000,2.0000,4.0000,3.0000,1.0169,0.4549,17.8821,-3.6196,1.0000,0.0000,
5,EIS,00:02:27.761,22:03:54.240,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,154.1393,2.0000,1.5000,6.2000,8.0000,14.0000,16.0000,3.6885,18.1330,-1.2234,154.3408,0.0000,2.0000,4.0000,3.0000,1.0160,0.4472,18.1742,-3.8597,1.0000,0.0000,
5,EIS,00:02:38.573,22:04:05.052,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,115.5882,2.0000,1.5000,6.2000,8.0000,15.0000,16.0000,3.6885,18.4311,-1.2871,115.6627,0.0000,2.0000,4.0000,3.0000,1.0169,0.4403,18.4760,-3.9948,1.0000,0.0000,
5,EIS,00:02:48.604,22:04:15.083,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,86.6789,2.0000,1.5000,6.2000,8.0000,16.0000,16.0000,3.6885,18.7338,-1.3172,86.6426,0.0000,2.0000,4.0000,3.0000,1.0162,0.4329,18.7800,-4.0219,1.0000,0.0000,
5,EIS,00:02:58.919,22:04:25.398,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,65.0000,2.0000,1.5000,6.2000,8.0000,17.0000,16.0000,3.6885,19.0370,-1.3137,65.0406,0.0000,2.0000,4.0000,3.0000,1.0160,0.4259,19.0823,-3.9477,1.0000,0.0000,
5,EIS,00:03:09.721,22:04:36.200,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,48.7431,2.0000,1.5000,6.2000,8.0000,18.0000,16.0000,3.6885,19.3304,-1.2720,48.7805,0.0000,2.0000,4.0000,3.0000,1.0153,0.4193,19.3722,-3.7649,1.0000,0.0000,
5,EIS,00:03:19.942,22:04:46.421,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,36.5522,2.0000,1.5000,6.2000,8.0000,19.0000,16.0000,3.6885,19.6054,-1.1975,36.5854,0.0000,2.0000,4.0000,3.0000,1.0140,0.4130,19.6420,-3.4953,1.0000,0.0000,
5,EIS,00:03:30.639,22:04:57.118,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,27.4103,2.0000,1.5000,6.2000,8.0000,20.0000,16.0000,3.6885,19.8470,-1.0934,27.3973,0.0000,2.0000,4.0000,3.0000,1.0120,0.4073,19.8771,-3.1532,1.0000,0.0000,
5,EIS,00:03:40.614,22:05:07.093,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,20.5548,2.0000,1.5000,6.2000,8.0000,21.0000,16.0000,3.6885,20.0499,-0.9747,20.5479,0.0000,2.0000,4.0000,3.0000,1.0097,0.4024,20.0736,-2.7833,1.0000,0.0000,
5,EIS,00:03:51.236,22:05:17.715,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,15.4139,2.0000,1.5000,6.2000,8.0000,22.0000,16.0000,3.6885,20.2143,-0.8602,15.4242,0.0000,2.0000,4.0000,3.0000,1.0076,0.3984,20.2325,-2.4367,1.0000,0.0000,
5,EIS,00:04:01.258,22:05:27.737,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,11.5588,2.0000,1.5000,6.2000,8.0000,23.0000,16.0000,3.6884,20.3409,-0.7550,11.5385,0.0000,2.0000,4.0000,3.0000,1.0064,0.3955,20.3549,-2.1258,1.0000,0.0000,
5,EIS,00:04:11.562,22:05:38.041,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,8.6679,2.0000,1.5000,6.2000,8.0000,24.0000,16.0000,3.6884,20.4377,-0.6730,8.6705,0.0000,2.0000,4.0000,3.0000,1.0050,0.3932,20.4488,-1.8861,1.0000,0.0000,
5,EIS,00:04:22.214,22:05:48.693,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,6.5000,2.0000,1.5000,6.2000,8.0000,25.0000,16.0000,3.6885,20.5141,-0.6113,6.4935,0.0000,2.0000,4.0000,3.0000,1.0035,0.3911,20.5233,-1.7067,1.0000,0.0000,
5,EIS,00:04:32.489,22:05:58.968,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,4.8743,2.0000,1.5000,6.2000,8.0000,26.0000,16.0000,3.6885,20.5764,-0.5746,4.8701,0.0000,2.0000,4.0000,3.0000,1.0029,0.3898,20.5844,-1.5995,1.0000,0.0000,
5,EIS,00:04:43.173,22:06:09.652,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,3.6552,2.0000,1.5000,6.2000,8.0000,27.0000,16.0000,3.6885,20.6431,-0.5601,3.6585,0.0000,2.0000,4.0000,3.0000,1.0033,0.3887,20.6507,-1.5541,1.0000,0.0000,
5,EIS,00:04:53.211,22:06:19.690,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,2.7410,2.0000,1.5000,6.2000,8.0000,28.0000,16.0000,3.6884,20.7171,-0.5667,2.7372,0.0000,2.0000,4.0000,3.0000,1.0038,0.3875,20.7248,-1.5668,1.0000,0.0000,
5,EIS,00:05:03.303,22:06:29.782,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,2.0555,2.0000,1.5000,6.2000,8.0000,29.0000,16.0000,3.6884,20.7619,-0.6023,2.0548,0.0000,2.0000,4.0000,3.0000,1.0016,0.3858,20.7706,-1.6616,1.0000,0.0000,
5,EIS,00:05:13.907,22:06:40.386,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,1.5414,2.0000,1.5000,6.2000,8.0000,30.0000,16.0000,3.6884,20.8403,-0.6516,1.5400,0.0000,2.0000,4.0000,3.0000,1.0038,0.3852,20.8505,-1.7908,1.0000,0.0000,
5,EIS,00:05:24.612,22:06:51.091,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,1.1559,2.0000,1.5000,6.2000,8.0000,31.0000,16.0000,3.6884,20.9099,-0.7204,1.1574,0.0000,2.0000,4.0000,3.0000,1.0035,0.3837,20.9223,-1.9733,1.0000,0.0000,
5,EIS,00:05:34.883,22:07:01.362,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.8668,2.0000,1.5000,6.2000,8.0000,32.0000,16.0000,3.6884,20.9789,-0.8146,0.8661,0.0000,2.0000,4.0000,3.0000,1.0040,0.3826,20.9947,-2.2238,1.0000,0.0000,
5,EIS,00:05:45.399,22:07:11.878,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.6500,2.0000,1.5000,6.2000,8.0000,33.0000,16.0000,3.6884,21.1084,-0.9375,0.6510,0.0000,2.0000,4.0000,3.0000,1.0060,0.3809,21.1292,-2.5431,1.0000,0.0000,
5,EIS,00:05:58.407,22:07:24.886,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.4874,2.0000,1.5000,6.2000,8.0000,34.0000,16.0000,3.6880,21.2561,-1.0678,0.4870,0.0000,2.0000,4.0000,3.0000,1.0071,0.3786,21.2829,-2.8759,1.0000,0.0000,
5,EIS,00:06:12.659,22:07:39.138,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.3655,2.0000,1.5000,6.2000,8.0000,35.0000,16.0000,3.6883,21.3771,-1.2345,0.3662,0.0000,2.0000,4.0000,3.0000,1.0064,0.3760,21.4127,-3.3050,1.0000,0.0000,
5,EIS,00:06:30.888,22:07:57.367,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.2741,2.0000,1.5000,6.2000,8.0000,36.0000,16.0000,3.6883,21.5659,-1.4299,0.2741,0.0000,2.0000,4.0000,3.0000,1.0097,0.3737,21.6133,-3.7933,1.0000,0.0000,
5,EIS,00:06:52.076,22:08:18.555,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.2055,2.0000,1.5000,6.2000,8.0000,37.0000,16.0000,3.6883,21.7625,-1.6498,0.2056,0.0000,2.0000,4.0000,3.0000,1.0100,0.3702,21.8250,-4.3351,1.0000,0.0000,
5,EIS,00:07:17.685,22:08:44.164,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.1541,2.0000,1.5000,6.2000,8.0000,38.0000,16.0000,3.6881,21.9888,-1.9028,0.1542,0.0000,2.0000,4.0000,3.0000,1.0111,0.3665,22.0710,-4.9458,1.0000,0.0000,
5,EIS,00:07:50.354,22:09:16.833,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.1156,2.0000,1.5000,6.2000,8.0000,39.0000,16.0000,3.6881,22.2541,-2.2042,0.1155,0.0000,2.0000,4.0000,3.0000,1.0128,0.3623,22.3630,-5.6565,1.0000,0.0000,
5,EIS,00:08:30.739,22:09:57.218,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0867,2.0000,1.5000,6.2000,8.0000,40.0000,16.0000,3.6879,22.5499,-2.5504,0.0868,0.0000,2.0000,4.0000,3.0000,1.0151,0.3579,22.6937,-6.4527,1.0000,0.0000,
5,EIS,00:09:23.285,22:10:49.764,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0650,2.0000,1.5000,6.2000,8.0000,41.0000,16.0000,3.6878,22.8886,-2.9888,0.0649,0.0000,2.0000,4.0000,3.0000,1.0173,0.3526,23.0829,-7.4396,1.0000,0.0000,
5,EIS,00:10:31.328,22:11:57.807,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0487,2.0000,1.5000,6.2000,8.0000,42.0000,16.0000,3.6877,23.2577,-3.5151,0.0487,0.0000,2.0000,4.0000,3.0000,1.0186,0.3464,23.5219,-8.5945,1.0000,0.0000,
5,EIS,00:12:00.391,22:13:26.870,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0366,2.0000,1.5000,6.2000,8.0000,43.0000,16.0000,3.6875,23.6708,-4.1770,0.0365,0.0000,2.0000,4.0000,3.0000,1.0219,0.3401,24.0365,-10.0076,1.0000,0.0000,
5,EIS,00:13:56.415,22:15:22.894,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0274,2.0000,1.5000,6.2000,8.0000,44.0000,16.0000,3.6873,24.2247,-4.9793,0.0274,0.0000,2.0000,4.0000,3.0000,1.0292,0.3329,24.7311,-11.6151,1.0000,0.0000,
5,EIS,00:16:28.641,22:17:55.120,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0206,2.0000,1.5000,6.2000,8.0000,45.0000,16.0000,3.6870,24.8379,-5.9752,0.0206,0.0000,2.0000,4.0000,3.0000,1.0328,0.3234,25.5465,-13.5266,1.0000,0.0000,
5,EIS,00:19:49.688,22:21:16.167,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0154,2.0000,1.5000,6.2000,8.0000,46.0000,16.0000,3.6866,25.6558,-7.1643,0.0154,0.0000,2.0000,4.0000,3.0000,1.0429,0.3132,26.6373,-15.6022,1.0000,0.0000,
5,EIS,00:24:15.868,22:25:42.347,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0116,2.0000,1.5000,6.2000,8.0000,47.0000,16.0000,3.6865,26.6595,-8.6005,0.0116,0.0000,2.0000,4.0000,3.0000,1.0512,0.3002,28.0124,-17.8799,1.0000,0.0000,
5,EIS,00:29:22.214,22:30:48.693,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0100,2.0000,1.5000,6.2000,8.0000,48.0000,16.0000,3.6863,27.2942,-9.4153,0.0100,0.0000,2.0000,4.0000,3.0000,1.0309,0.2856,28.8725,-19.0323,1.0000,0.0000,
