

Measurement ID,9457
Battery Name,GH40
Battery Type,NMC
Circuit,MCT_086
Program,784 - EISRemote_GH_RPT_dch
Start Time,12/07/2019 15:30:25
End Time,13/07/2019 20:07:11
Test section,EIS00004
Comment,
OrderNo,
Producer, LG
Type, NMC
Nominal Voltage, 3.6
Nominal Current, 6
Nominal Capacity, 3
Cells, 0
Maximum Voltage, 6
Gassing Voltage, 6
Break Voltage, 6
Charge Factor, 6
Impedance, 6
Cold Cranking Current, 6
Energy Density, 6
Comment,3.0 AH 18650 NMC



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,Status,U1,Zreal1,Zimg1,ActFreq,EisError,AACStart,MinIntervalTime,CountOfPeriods,VRelativ,AAmplitude,Betrag,Phase,StartEis007,EisFinish,
5,EIS,00:05:18.523,22:51:41.957,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,2.7410,2.0000,1.5000,6.2000,8.0000,28.0000,16.0000,3.6630,19.8618,-0.4704,2.7372,0.0000,2.0000,4.0000,3.0000,1.0033,0.4040,19.8673,-1.3567,1.0000,0.0000,
5,EIS,00:05:29.660,22:51:53.094,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,2.0555,2.0000,1.5000,6.2000,8.0000,29.0000,16.0000,3.6608,19.8927,-0.5343,2.0548,0.0000,2.0000,4.0000,3.0000,1.0033,0.4024,19.8999,-1.5386,1.0000,0.0000,
5,EIS,00:05:41.107,22:52:04.541,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,1.5414,2.0000,1.5000,6.2000,8.0000,30.0000,16.0000,3.6630,19.9548,-0.6192,1.5400,0.0000,2.0000,4.0000,3.0000,1.0033,0.4020,19.9644,-1.7773,1.0000,0.0000,
5,EIS,00:05:52.856,22:52:16.290,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,1.1559,2.0000,1.5000,6.2000,8.0000,31.0000,16.0000,3.6630,20.0232,-0.7186,1.1574,0.0000,2.0000,4.0000,3.0000,1.0037,0.4007,20.0361,-2.0553,1.0000,0.0000,
5,EIS,00:06:03.650,22:52:27.084,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.8668,2.0000,1.5000,6.2000,8.0000,32.0000,16.0000,3.6630,20.1099,-0.8426,0.8661,0.0000,2.0000,4.0000,3.0000,1.0051,0.3995,20.1275,-2.3993,1.0000,0.0000,
5,EIS,00:06:15.129,22:52:38.563,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.6500,2.0000,1.5000,6.2000,8.0000,33.0000,16.0000,3.6629,20.2544,-0.9875,0.6510,0.0000,2.0000,4.0000,3.0000,1.0071,0.3973,20.2784,-2.7913,1.0000,0.0000,
5,EIS,00:06:28.266,22:52:51.700,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.4874,2.0000,1.5000,6.2000,8.0000,34.0000,16.0000,3.6629,20.4237,-1.1469,0.4870,0.0000,2.0000,4.0000,3.0000,1.0085,0.3944,20.4558,-3.2140,1.0000,0.0000,
5,EIS,00:06:42.860,22:53:06.294,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.3655,2.0000,1.5000,6.2000,8.0000,35.0000,16.0000,3.6629,20.5933,-1.3160,0.3662,0.0000,2.0000,4.0000,3.0000,1.0092,0.3912,20.6353,-3.6565,1.0000,0.0000,
5,EIS,00:07:01.191,22:53:24.625,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.2741,2.0000,1.5000,6.2000,8.0000,36.0000,16.0000,3.6628,20.7964,-1.5028,0.2741,0.0000,2.0000,4.0000,3.0000,1.0108,0.3878,20.8506,-4.1331,1.0000,0.0000,
5,EIS,00:07:22.909,22:53:46.343,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.2055,2.0000,1.5000,6.2000,8.0000,37.0000,16.0000,3.6628,21.0496,-1.7012,0.2056,0.0000,2.0000,4.0000,3.0000,1.0130,0.3838,21.1182,-4.6206,1.0000,0.0000,
5,EIS,00:07:48.995,22:54:12.429,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.1541,2.0000,1.5000,6.2000,8.0000,38.0000,16.0000,3.6627,21.2797,-1.9125,0.1542,0.0000,2.0000,4.0000,3.0000,1.0115,0.3788,21.3655,-5.1356,1.0000,0.0000,
5,EIS,00:08:21.944,22:54:45.378,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.1156,2.0000,1.5000,6.2000,8.0000,39.0000,16.0000,3.6626,21.5924,-2.1621,0.1155,0.0000,2.0000,4.0000,3.0000,1.0152,0.3743,21.7004,-5.7180,1.0000,0.0000,
5,EIS,00:09:02.994,22:55:26.428,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0867,2.0000,1.5000,6.2000,8.0000,40.0000,16.0000,3.6625,21.8624,-2.4587,0.0868,0.0000,2.0000,4.0000,3.0000,1.0141,0.3688,22.0002,-6.4166,1.0000,0.0000,
5,EIS,00:09:56.305,22:56:19.739,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0650,2.0000,1.5000,6.2000,8.0000,41.0000,16.0000,3.6624,22.1791,-2.8358,0.0649,0.0000,2.0000,4.0000,3.0000,1.0165,0.3637,22.3597,-7.2862,1.0000,0.0000,
5,EIS,00:11:05.191,22:57:28.625,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0487,2.0000,1.5000,6.2000,8.0000,42.0000,16.0000,3.6623,22.5606,-3.3051,0.0487,0.0000,2.0000,4.0000,3.0000,1.0194,0.3576,22.8014,-8.3346,1.0000,0.0000,
5,EIS,00:12:34.450,22:58:57.884,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0366,2.0000,1.5000,6.2000,8.0000,43.0000,16.0000,3.6621,22.9433,-3.8902,0.0365,0.0000,2.0000,4.0000,3.0000,1.0206,0.3509,23.2707,-9.6233,1.0000,0.0000,
5,EIS,00:14:31.272,23:00:54.706,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0274,2.0000,1.5000,6.2000,8.0000,44.0000,16.0000,3.6619,23.4477,-4.6259,0.0274,0.0000,2.0000,4.0000,3.0000,1.0272,0.3438,23.8997,-11.1603,1.0000,0.0000,
5,EIS,00:17:04.058,23:03:27.492,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0206,2.0000,1.5000,6.2000,8.0000,45.0000,16.0000,3.6614,24.0201,-5.5246,0.0206,0.0000,2.0000,4.0000,3.0000,1.0312,0.3347,24.6472,-12.9528,1.0000,0.0000,
5,EIS,00:20:25.758,23:06:49.192,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0154,2.0000,1.5000,6.2000,8.0000,46.0000,16.0000,3.6611,24.7986,-6.6210,0.0154,0.0000,2.0000,4.0000,3.0000,1.0312,0.3247,25.6673,-14.9488,1.0000,0.0000,
5,EIS,00:24:52.806,23:11:16.240,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0116,2.0000,1.5000,6.2000,8.0000,47.0000,16.0000,3.6611,25.7623,-7.9241,0.0116,0.0000,2.0000,4.0000,3.0000,1.0496,0.3115,26.9534,-17.0971,1.0000,0.0000,
5,EIS,00:30:00.299,23:16:23.733,4,1,EISRemote_GH_RPT_dch,,,0.0100,6500.0000,0.0100,2.0000,1.5000,6.2000,8.0000,48.0000,16.0000,3.6609,26.3477,-8.6500,0.0100,0.0000,2.0000,4.0000,3.0000,1.0292,0.2969,27.7313,-18.1751,1.0000,0.0000,
